Statistical unit,Unit of measure,Level of education,Orientation,Sex,Age,Grade,Type of institution,Level of educational attainment,Wealth quintile,Location,Type of education,Field of education,School subject,Infrastructure,Socioeconomic background,Teaching experience,Type of contract,Country / region of origin,Destination region,Immigration status,Reference area,Time Period,2012,2013,2014,2015,2016,2017,2018
CR:Completion rate,PT:Percentage,L3:Upper secondary education,_T:Total,_T:Total,_T:Total,GLAST:Last grade,INST_T:All institutions,_Z:Not applicable,_T:Total,_T:Total,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,CR:PT:L3:_T:_T:_T:GLAST:INST_T:_Z:_T:_T:_T:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,,95.28717,,,,,
GER:Gross enrolment ratio,GPI:Gender parity index,L1T3:Primary and secondary education,_T:Total,_T:Total,SCH_AGE_GROUP:School-age population,_T:Total,INST_T:All institutions,_Z:Not applicable,_T:Total,_T:Total,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,GER:GPI:L1T3:_T:_T:SCH_AGE_GROUP:_T:INST_T:_Z:_T:_T:_T:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,0.99094,0.98641,0.99414,,,,
TEACH:Teachers,PER:Number of persons,L3:Upper secondary education,_T:Total,_T:Total,_T:Total,_T:Total,INST_PRIV:Private institutions,_T:Total,_Z:Not applicable,_T:Total,_T:Total,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_T:Total,_T:Total,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,TEACH:PER:L3:_T:_T:_T:_T:INST_PRIV:_T:_Z:_T:_T:_T:_T:_Z:_Z:_T:_T:W00:W00:_Z:UA,,,,NaN,NaN,NaN,
STU_MOBILE:International (or internationally mobile) students,PER:Number of persons,L5T8:Tertiary education,_T:Total,_T:Total,_T:Total,_T:Total,INST_T:All institutions,_Z:Not applicable,_Z:Not applicable,_T:Total,_T:Total,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,TM:Turkmenistan,W00:All countries,_Z:Not applicable,UA:Ukraine,STU_MOBILE:PER:L5T8:_T:_T:_T:_T:INST_T:_Z:_Z:_T:_T:_T:_T:_Z:_Z:_Z:_Z:TM:W00:_Z:UA,6861,10452,14053,13485,9979,6291,
GTVP:Distribution of enrolment by orientation of education programme,PT:Percentage,L2_3:Secondary education,C4:General programmes,_T:Total,_T:Total,_T:Total,INST_T:All institutions,_Z:Not applicable,_Z:Not applicable,_T:Total,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,GTVP:PT:L2_3:C4:_T:_T:_T:INST_T:_Z:_Z:_T:_T:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,91.13654,90.32074,91.04157,91.85064,91.99476,92.33445,
RPTR:Repeaters,PER:Number of persons,L2:Lower secondary education,C4:General programmes,F:Female,_T:Total,_U:Unknown,INST_T:All institutions,_Z:Not applicable,_Z:Not applicable,_T:Total,INIT:Initial education,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,RPTR:PER:L2:C4:F:_T:_U:INST_T:_Z:_Z:_T:INIT:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,0,0,0,0,0,0,
GRAD:Graduates,PER:Number of persons,L1:Primary education,_T:Total,_T:Total,_T:Total,_T:Total,INST_T:All institutions,_Z:Not applicable,_Z:Not applicable,_T:Total,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,GRAD:PER:L1:_T:_T:_T:_T:INST_T:_Z:_Z:_T:_T:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,,,,353414,371489,386227,
FEP:Percentage of female students,PT:Percentage,L02:Pre-primary education,_T:Total,F:Female,_T:Total,_T:Total,INST_T:All institutions,_Z:Not applicable,_Z:Not applicable,_T:Total,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,FEP:PT:L02:_T:F:_T:_T:INST_T:_Z:_Z:_T:_T:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,47.95916,47.88190,,47.88915,48.03417,47.94366,
NERT:Total net enrolment rate,GPI:Gender parity index,L1T3:Primary and secondary education,_T:Total,_T:Total,SCH_AGE_GROUP:School-age population,_T:Total,INST_T:All institutions,_Z:Not applicable,_Z:Not applicable,_T:Total,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,NERT:GPI:L1T3:_T:_T:SCH_AGE_GROUP:_T:INST_T:_Z:_Z:_T:_T:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,1.01373,1.01258,1.01610,,,,
NAR:Net attendance rate,WPIA:Adjusted wealth parity index,L1:Primary education,_T:Total,_T:Total,SCH_AGE_GROUP:School-age population,_T:Total,INST_T:All institutions,_Z:Not applicable,_T:Total,URB:Urban,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,NAR:WPIA:L1:_T:_T:SCH_AGE_GROUP:_T:INST_T:_Z:_T:URB:_T:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,,1.10631,,,,,
ROFST_PHH:Rate of out-of-school children (household survey data),WPIA:Adjusted wealth parity index,L3:Upper secondary education,_T:Total,M:Male,SCH_AGE_GROUP:School-age population,_T:Total,INST_T:All institutions,_Z:Not applicable,_T:Total,URB:Urban,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,ROFST_PHH:WPIA:L3:_T:M:SCH_AGE_GROUP:_T:INST_T:_Z:_T:URB:_T:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,,0,,,,,
STU_MOBILE:International (or internationally mobile) students,PER:Number of persons,L5T8:Tertiary education,_T:Total,_T:Total,_T:Total,_T:Total,INST_T:All institutions,_Z:Not applicable,_Z:Not applicable,_T:Total,_T:Total,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,YE:Yemen,W00:All countries,_Z:Not applicable,UA:Ukraine,STU_MOBILE:PER:L5T8:_T:_T:_T:_T:INST_T:_Z:_Z:_T:_T:_T:_T:_Z:_Z:_Z:_Z:YE:W00:_Z:UA,0,0,61,73,87,121,
CCR:Cohort completion rate,PT:Percentage,L1:Primary education,_T:Total,M:Male,_T:Total,GLAST:Last grade,INST_T:All institutions,_Z:Not applicable,_Z:Not applicable,_T:Total,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,CCR:PT:L1:_T:M:_T:GLAST:INST_T:_Z:_Z:_T:_T:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,,,,68.26175,95.31924,,
RPTR:Repeaters,PER:Number of persons,L2:Lower secondary education,C4:General programmes,M:Male,_T:Total,G3:Grade 3,INST_T:All institutions,_Z:Not applicable,_Z:Not applicable,_T:Total,INIT:Initial education,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,RPTR:PER:L2:C4:M:_T:G3:INST_T:_Z:_Z:_T:INIT:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,13,10,14,12,36,12,
GECER:Gross early childhood enrolment ratio,GPI:Gender parity index,L02:Pre-primary education,_T:Total,_T:Total,_T:Total,_T:Total,INST_T:All institutions,_Z:Not applicable,_Z:Not applicable,_T:Total,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,GECER:GPI:L02:_T:_T:_T:_T:INST_T:_Z:_Z:_T:_T:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,0.97911,0.97413,,,,,
NART:Total net attendance rate,WPIA:Adjusted wealth parity index,L3:Upper secondary education,_T:Total,F:Female,SCH_AGE_GROUP:School-age population,_T:Total,INST_T:All institutions,_Z:Not applicable,_T:Total,URB:Urban,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,NART:WPIA:L3:_T:F:SCH_AGE_GROUP:_T:INST_T:_Z:_T:URB:_T:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,,0,,,,,
SCH:School,PT:Percentage,L1:Primary education,_T:Total,_T:Total,_T:Total,_T:Total,INST_PUB:Public institutions,_Z:Not applicable,_Z:Not applicable,_T:Total,_T:Total,_T:Total,_Z:Not applicable,NET_PP:Internet for pedagogical purposes,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,SCH:PT:L1:_T:_T:_T:_T:INST_PUB:_Z:_Z:_T:_T:_T:_Z:NET_PP:_Z:_Z:_Z:W00:W00:_Z:UA,,,,,40.57404,47.46753,
NART:Total net attendance rate,GPIA:Adjusted gender parity index,L2:Lower secondary education,_T:Total,_T:Total,SCH_AGE_GROUP:School-age population,_T:Total,INST_T:All institutions,_Z:Not applicable,Q1:Poorest,_T:Total,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,NART:GPIA:L2:_T:_T:SCH_AGE_GROUP:_T:INST_T:_Z:Q1:_T:_T:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,,0.99594,,,,,
STU_MOBILE:International (or internationally mobile) students,PER:Number of persons,L5T8:Tertiary education,_T:Total,_T:Total,_T:Total,_T:Total,INST_T:All institutions,_Z:Not applicable,_Z:Not applicable,_T:Total,_T:Total,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,NP:Nepal,W00:All countries,_Z:Not applicable,UA:Ukraine,STU_MOBILE:PER:L5T8:_T:_T:_T:_T:INST_T:_Z:_Z:_T:_T:_T:_T:_Z:_Z:_Z:_Z:NP:W00:_Z:UA,0,0,64,41,36,37,
STU:Students,PT:Percentage,L1:Primary education,_T:Total,M:Male,GE2_OVER_AGE:At least 2 years over age,_T:Total,INST_T:All institutions,_Z:Not applicable,_Z:Not applicable,_T:Total,INIT:Initial education,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,STU:PT:L1:_T:M:GE2_OVER_AGE:_T:INST_T:_Z:_Z:_T:INIT:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,1.13983,1.10024,1.08154,0.99716,1.02847,1.11999,
ROFST_PHH:Rate of out-of-school children (household survey data),PT:Percentage,L3:Upper secondary education,_T:Total,F:Female,SCH_AGE_GROUP:School-age population,_T:Total,INST_T:All institutions,_Z:Not applicable,Q2:Second,_T:Total,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,ROFST_PHH:PT:L3:_T:F:SCH_AGE_GROUP:_T:INST_T:_Z:Q2:_T:_T:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,,1.66759,,,,,
STU_MOBILE:International (or internationally mobile) students,PER:Number of persons,L5T8:Tertiary education,_T:Total,_T:Total,_T:Total,_T:Total,INST_T:All institutions,_Z:Not applicable,_Z:Not applicable,_T:Total,_T:Total,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,NI:Nicaragua,W00:All countries,_Z:Not applicable,UA:Ukraine,STU_MOBILE:PER:L5T8:_T:_T:_T:_T:INST_T:_Z:_Z:_T:_T:_T:_T:_Z:_Z:_Z:_Z:NI:W00:_Z:UA,0,0,1,0,0,0,
REPP:Percentage of repeaters,PT:Percentage,L2:Lower secondary education,C4:General programmes,F:Female,_T:Total,G6:Grade 6,INST_T:All institutions,_Z:Not applicable,_Z:Not applicable,_T:Total,INIT:Initial education,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,REPP:PT:L2:C4:F:_T:G6:INST_T:_Z:_Z:_T:INIT:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,0,0,0,0,0,0,0
TEACH:Teachers,PER:Number of persons,L1:Primary education,_T:Total,F:Female,_T:Total,_T:Total,INST_PRIV:Private institutions,_T:Total,_Z:Not applicable,_T:Total,_T:Total,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_T:Total,_T:Total,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,TEACH:PER:L1:_T:F:_T:_T:INST_PRIV:_T:_Z:_T:_T:_T:_T:_Z:_Z:_T:_T:W00:W00:_Z:UA,812,790,,912,1045,1188,
STU:Students,PER:Number of persons,L8:Doctoral or equivalent level,_T:Total,M:Male,_T:Total,_T:Total,INST_T:All institutions,_Z:Not applicable,_Z:Not applicable,_T:Total,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,STU:PER:L8:_T:M:_T:_T:INST_T:_Z:_Z:_T:_T:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,14969,14292,13531,12162,14636,13667,
STU:Students,PER:Number of persons,L2_3:Secondary education,_T:Total,F:Female,_T:Total,_T:Total,INST_PRIV:Private institutions,_Z:Not applicable,_Z:Not applicable,_T:Total,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,STU:PER:L2_3:_T:F:_T:_T:INST_PRIV:_Z:_Z:_T:_T:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,5055,4882,4914,4344,4731,5456,
COMP_EDU:Compulsory education,YR:Years,L2_3:Secondary education,_T:Total,_T:Total,_T:Total,_T:Total,INST_T:All institutions,_Z:Not applicable,_Z:Not applicable,_T:Total,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,COMP_EDU:YR:L2_3:_T:_T:_T:_T:INST_T:_Z:_Z:_T:_T:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,7,7,7,7,7,,
STU:Students,PER:Number of persons,L0:Early childhood education,_T:Total,_T:Total,_T:Total,_T:Total,INST_PUB:Public institutions,_Z:Not applicable,_Z:Not applicable,_T:Total,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,STU:PER:L0:_T:_T:_T:_T:INST_PUB:_Z:_Z:_T:_T:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,1341677,,1229983,1284452,1280587,1289379,
PRP:Percentage of private enrolment,PT:Percentage,L3:Upper secondary education,_T:Total,_T:Total,_T:Total,_T:Total,INST_PRIV:Private institutions,_Z:Not applicable,_Z:Not applicable,_T:Total,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,PRP:PT:L3:_T:_T:_T:_T:INST_PRIV:_Z:_Z:_T:_T:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,0.37432,0.34186,0.32547,0.29330,0.33658,0.39885,
DR:Drop-out rate,PT:Percentage,L1:Primary education,_T:Total,F:Female,_T:Total,G6:Grade 6,INST_T:All institutions,_Z:Not applicable,_Z:Not applicable,_T:Total,INIT:Initial education,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,DR:PT:L1:_T:F:_T:G6:INST_T:_Z:_Z:_T:INIT:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,0,0,0,0,0,0,0
GER:Gross enrolment ratio,PT:Percentage,L1:Primary education,_T:Total,F:Female,SCH_AGE_GROUP:School-age population,_T:Total,INST_T:All institutions,_Z:Not applicable,_T:Total,_T:Total,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,GER:PT:L1:_T:F:SCH_AGE_GROUP:_T:INST_T:_Z:_T:_T:_T:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,101.94725,102.58517,100.91868,,,,
ROFST_PHH:Rate of out-of-school children (household survey data),PT:Percentage,L1:Primary education,_T:Total,F:Female,SCH_AGE_GROUP:School-age population,_T:Total,INST_T:All institutions,_Z:Not applicable,Q5:Richest,_T:Total,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,ROFST_PHH:PT:L1:_T:F:SCH_AGE_GROUP:_T:INST_T:_Z:Q5:_T:_T:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,,12.57257,,,,,
STU_MOBILE:International (or internationally mobile) students,PER:Number of persons,L5T8:Tertiary education,_T:Total,_T:Total,_T:Total,_T:Total,INST_T:All institutions,_Z:Not applicable,_Z:Not applicable,_T:Total,_T:Total,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,TD:Chad,W00:All countries,_Z:Not applicable,UA:Ukraine,STU_MOBILE:PER:L5T8:_T:_T:_T:_T:INST_T:_Z:_Z:_T:_T:_T:_T:_Z:_Z:_Z:_Z:TD:W00:_Z:UA,0,0,7,3,1,0,
CR:Completion rate,GPIA:Adjusted gender parity index,L1:Primary education,_T:Total,_T:Total,_T:Total,GLAST:Last grade,INST_T:All institutions,_Z:Not applicable,Q1:Poorest,RUR:Rural,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,CR:GPIA:L1:_T:_T:_T:GLAST:INST_T:_Z:Q1:RUR:_T:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,,0.99739,,,,,
STU_MOBILE:International (or internationally mobile) students,PER:Number of persons,L5T8:Tertiary education,_T:Total,_T:Total,_T:Total,_T:Total,INST_T:All institutions,_Z:Not applicable,_Z:Not applicable,_T:Total,_T:Total,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W18:Region unknown,W00:All countries,_Z:Not applicable,UA:Ukraine,STU_MOBILE:PER:L5T8:_T:_T:_T:_T:INST_T:_Z:_Z:_T:_T:_T:_T:_Z:_Z:_Z:_Z:W18:W00:_Z:UA,18375,22454,646,652,654,650,
ROFST_PHH:Rate of out-of-school children (household survey data),PT:Percentage,L3:Upper secondary education,_T:Total,_T:Total,SCH_AGE_GROUP:School-age population,_T:Total,INST_T:All institutions,_Z:Not applicable,Q3:Middle,RUR:Rural,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,ROFST_PHH:PT:L3:_T:_T:SCH_AGE_GROUP:_T:INST_T:_Z:Q3:RUR:_T:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,,0,,,,,
SAP:School-age population,PER:Number of persons,_T:Total,_T:Total,_T:Total,Y6T11:6-11 years,_T:Total,INST_T:All institutions,_Z:Not applicable,_Z:Not applicable,_T:Total,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,SAP:PER:_T:_T:_T:Y6T11:_T:INST_T:_Z:_Z:_T:_T:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,2348510,2378956,2447602,,,,
GRAD:Graduates,PER:Number of persons,L7:Master?s or equivalent level,_T:Total,M:Male,_T:Total,_T:Total,INST_T:All institutions,_Z:Not applicable,_Z:Not applicable,_T:Total,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,GRAD:PER:L7:_T:M:_T:_T:INST_T:_Z:_Z:_T:_T:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,,145886,138354,107491,95366,72476,
DR:Drop-out rate,PT:Percentage,L1:Primary education,_T:Total,_T:Total,_T:Total,G5:Grade 5,INST_T:All institutions,_Z:Not applicable,_Z:Not applicable,_T:Total,INIT:Initial education,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,DR:PT:L1:_T:_T:_T:G5:INST_T:_Z:_Z:_T:INIT:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,0,0,0,0,0,0,0
NART:Total net attendance rate,GLPIA:Adjusted location parity index,L2:Lower secondary education,_T:Total,M:Male,SCH_AGE_GROUP:School-age population,_T:Total,INST_T:All institutions,_Z:Not applicable,Q4:Fourth,_T:Total,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,NART:GLPIA:L2:_T:M:SCH_AGE_GROUP:_T:INST_T:_Z:Q4:_T:_T:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,,0,,,,,
NAR:Net attendance rate,GLPIA:Adjusted location parity index,L1:Primary education,_T:Total,F:Female,SCH_AGE_GROUP:School-age population,_T:Total,INST_T:All institutions,_Z:Not applicable,Q3:Middle,_T:Total,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,NAR:GLPIA:L1:_T:F:SCH_AGE_GROUP:_T:INST_T:_Z:Q3:_T:_T:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,,0.92605,,,,,
ROFST_PHH:Rate of out-of-school children (household survey data),PT:Percentage,L2:Lower secondary education,_T:Total,F:Female,SCH_AGE_GROUP:School-age population,_T:Total,INST_T:All institutions,_Z:Not applicable,Q2:Second,_T:Total,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,ROFST_PHH:PT:L2:_T:F:SCH_AGE_GROUP:_T:INST_T:_Z:Q2:_T:_T:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,,2.24429,,,,,
NART:Total net attendance rate,PT:Percentage,L3:Upper secondary education,_T:Total,_T:Total,SCH_AGE_GROUP:School-age population,_T:Total,INST_T:All institutions,_Z:Not applicable,Q5:Richest,_T:Total,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,NART:PT:L3:_T:_T:SCH_AGE_GROUP:_T:INST_T:_Z:Q5:_T:_T:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,,98.22772,,,,,
GRAD:Graduates,PT:Percentage,L5:Short-cycle tertiary education,_T:Total,F:Female,_T:Total,_T:Total,INST_T:All institutions,_Z:Not applicable,_Z:Not applicable,_T:Total,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,GRAD:PT:L5:_T:F:_T:_T:INST_T:_Z:_Z:_T:_T:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,15.23186,20.81058,24.56269,26.27302,26.84399,28.84016,
ROFST:Rate of out-of-school children,PT:Percentage,L1_2:Primary and lower secondary education,_T:Total,_T:Total,SCH_AGE_GROUP:School-age population,_T:Total,INST_T:All institutions,_Z:Not applicable,_Z:Not applicable,_T:Total,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,ROFST:PT:L1_2:_T:_T:SCH_AGE_GROUP:_T:INST_T:_Z:_Z:_T:_T:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,5.91549,5.15126,4.89346,,,,
CR:Completion rate,GLPIA:Adjusted location parity index,L2:Lower secondary education,_T:Total,F:Female,_T:Total,GLAST:Last grade,INST_T:All institutions,_Z:Not applicable,Q5:Richest,_T:Total,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,CR:GLPIA:L2:_T:F:_T:GLAST:INST_T:_Z:Q5:_T:_T:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,,0,,,,,
NART:Total net attendance rate,PT:Percentage,L2:Lower secondary education,_T:Total,F:Female,SCH_AGE_GROUP:School-age population,_T:Total,INST_T:All institutions,_Z:Not applicable,Q3:Middle,URB:Urban,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,NART:PT:L2:_T:F:SCH_AGE_GROUP:_T:INST_T:_Z:Q3:URB:_T:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,,100,,,,,
